metric,KGE',KGE' wet,KGE' mid,KGE' dry,Average
RMSE,0.7893498648496499,0.7703982223321102,0.7381645839154392,0.5364733355319464,0.6816787139264986
split_mean_NmKGE,0.8419768453536056,0.8422467923764235,0.7833150548269093,0.3741120010161575,0.6665579494064967
split_RMSE,0.7770071112529896,0.7526105927941008,0.7490631623903501,0.4575923089621261,0.653088688048859
NNSE,0.7907001916893989,0.7015494530587455,0.7441674365712638,0.37495680464038217,0.6068912314234638
split_NmKGE,0.84095609794067,0.5985489750745621,0.8555515526807745,0.011781921313285815,0.4886274830228741
split_NNSE,0.7501401264425945,0.4910747032665693,0.7586360449393139,0.15586587091812287,0.4685255397080021
NnpKGE,0.7713706014601125,0.7563501783369379,0.6755531313815992,-0.15111784978965503,0.42692848664296074
NmKGE,0.8431046030869903,0.7127697473291101,0.8378661780901104,-0.5349492855082385,0.3385622133036607
mean_NmKGE,0.7373948802191297,0.5018277179791792,0.7863311961609493,-0.3668711552257926,0.307095919638112
split_NnpKGE,0.804234056607591,0.7668408533777877,0.73808518522714,-0.8850883410633394,0.2066125658471961
