metric,KGE',NSE,NNSE,NmKGE,RMSE,mean_NmKGE,NnpKGE,split_NNSE,split_NmKGE,split_RMSE,split_mean_NmKGE,split_NnpKGE
NmKGE,0.9666001989613273,0.9340247352941918,0.9381080716502213,0.9676796908562374,7.689700707704272,0.6957607742800052,0.9213785236894153,0.9381080716502213,0.9676796908562374,7.689700707704272,0.6957607742800052,0.9213785236894153
split_NmKGE,0.965451521311896,0.9317756236729096,0.9361329156692075,0.9666052588159868,8.731104806757585,0.7042864305622397,0.9369914315485421,0.9361329156692075,0.9666052588159868,8.731104806757585,0.7042864305622397,0.9369914315485421
NnpKGE,0.9026271297556234,0.8746349363399587,0.8886005370983221,0.9112672885537143,19.872037007656584,0.6733367709559603,0.8418411410351684,0.8886005370983221,0.9112672885537143,19.872037007656584,0.6733367709559603,0.8418411410351684
split_mean_NmKGE,0.8539958593753253,0.7160279259789684,0.7788331383783818,0.8725971962500159,6.6853002782989766,0.8223113165528664,0.9678918508627667,0.7788331383783818,0.8725971962500159,6.6853002782989766,0.8223113165528664,0.9678918508627667
RMSE,0.828793932215587,0.988668157495922,0.9887951293256819,0.8538207131147417,4.286194315603795,0.6237729408681213,0.8391987299730599,0.9887951293256819,0.8538207131147417,4.286194315603795,0.6237729408681213,0.8391987299730599
mean_NmKGE,0.8066720241385905,0.7427945521586115,0.7954149432910841,0.8379925889847217,22.556540680808894,0.8857413714398938,0.9659505952274647,0.7954149432910841,0.8379925889847217,22.556540680808894,0.8857413714398938,0.9659505952274647
split_NNSE,0.7885422063766084,0.9317719675120005,0.9361297116224425,0.8254517864869769,8.12931810065587,0.6224296392710763,0.806600481014566,0.9361297116224425,0.8254517864869769,8.12931810065587,0.6224296392710763,0.806600481014566
NNSE,0.7070182872543752,0.9632236059998863,0.9645281333439488,0.7734061434453832,6.594075373480673,0.5939208096806827,0.8003773682261767,0.9645281333439488,0.7734061434453832,6.594075373480673,0.5939208096806827,0.8003773682261767
split_NnpKGE,0.5395527139204077,0.006872126940143497,0.5017239553550554,0.6847217352735738,10.188903855611636,0.5589191961203287,0.9583566578880772,0.5235304525749297,0.6946359047782886,7.727969976292148,0.5898397455573812,0.9478112241786841
split_RMSE,0.5346411230116062,0.9834836300458596,0.9837519882194464,0.6824266844823709,5.023593393975626,0.541064671060051,0.7415869630118271,0.9837519882194464,0.6824266844823709,5.023593393975626,0.541064671060051,0.7415869630118271
